py3-pluggy 1.6.0
py3-ply 3.11
py3-poetry-core 2.4.1
py3-poetry-plugin-export 1.10.0
py3-poetry 2.4.1
py3-portpicker 1.6.0
py3-prettytable 3.18.0
py3-prometheus-client 0.25.0
py3-prompt_toolkit 3.0.52
py3-protobuf 5.29.6
py3-prwlock 0.4.1
py3-psutil 7.2.2
py3-ptyprocess 0.7.0
py3-pure-eval 0.2.3
py3-py-cpuinfo 9.0.0
py3-pyasn1-modules 0.4.2
py3-pyasn1 0.6.4
py3-pybind11 3.0.4
py3-pycodestyle 2.14.0
py3-pycparser 3.0
py3-pycuda 2026.1
py3-pycurl 7.47.0
py3-pydantic-core 2.46.4
py3-pydantic 2.13.4
py3-pydot 4.0.1
py3-pyflakes 3.4.0
py3-pyg-lib-cuda 0.7.0
py3-pyg-lib 0.7.0
py3-pygithub 2.9.1
py3-pygments 2.20.0
py3-pyjwt 2.13.0
py3-pylev 1.4.0
py3-pylint 4.0.6
py3-pymongo 4.17.0
py3-pynacl 1.6.2
py3-pyparsing 3.3.2
py3-pyproject-metadata 0.12.1
py3-pysocks 1.7.1
py3-pysqlite3 0.6.0
py3-pytest-cov 7.1.0
py3-pytest-runner 6.0.1
py3-pytest-xdist 3.8.0
py3-pytest 9.1.1
py3-python-daemon 3.1.2
py3-python-dateutil 2.9.0.post0
py3-python-discovery 1.4.4
py3-python-json-logger 4.1.0
py3-python-ldap 3.4.7
py3-python-rapidjson 1.23
py3-pythran 0.18.1
py3-pytoml 0.1.21
py3-pytools 2026.1.1
py3-pytz 2026.2
py3-pyyaml 6.0.3
py3-pyzmq 27.1.0
py3-rapidfuzz 3.14.5
py3-referencing 0.37.0
py3-regex 2026.6.28
py3-repoze-lru 0.8
py3-requests-oauthlib 2.0.0
py3-requests-toolbelt 1.0.0
py3-requests 2.34.2
py3-retrying 1.4.2
py3-rfc3339-validator 0.1.4
py3-rfc3986-validator 0.1.1
py3-rich 15.0.0
py3-rpds-py 2026.6.3
py3-rsa 4.9.1
py3-scandir 1.10.0
py3-schema 0.7.8
py3-scikit-build-core 1.0.1
py3-scikit-build 0.19.1
py3-scikit-learn 1.9.0
py3-scinum 2.2.2
py3-scipy 1.17.1
py3-seaborn 0.13.2
py3-secretstorage 3.5.0
py3-semantic-version 2.10.0
py3-send2trash 2.1.0
py3-setuptools-rust 1.13.0
py3-setuptools-scm 10.2.0
py3-setuptools 83.0.0
py3-shellingham 1.5.4
py3-simplegeneric 0.8.1
py3-simplejson 4.1.1
py3-singledispatch 4.1.2
py3-siphash24 1.8
py3-six 1.17.0
py3-skl2onnx 1.20.0
py3-smmap 5.0.3
py3-sniffio 1.3.1
py3-soupsieve 2.8.4
py3-sqlalchemy 1.3.24
py3-stack-data 0.6.3
py3-stevedore 5.9.0
py3-subprocess32 3.5.4
py3-sympy 1.14.0
py3-tables 3.11.1
py3-tabulate 0.10.0
py3-tblib 3.2.2
py3-tenacity 9.1.4
py3-tensorboard-data-server 0.7.2
py3-tensorboard-plugin-wit 1.8.1
py3-tensorboard 2.21.0
py3-tensorflow-estimator 2.15.0
py3-tensorflow-io-gcs-filesystem 0.37.1
py3-tensorflow 2.17.0
py3-termcolor 3.3.0
py3-terminado 0.18.1
py3-testpath 0.6.0
py3-textual-fspicker 1.0.1
py3-textual-plotext 1.0.1
py3-textual 8.2.8
py3-threadpoolctl 3.6.0
py3-tinycss2 1.5.1
py3-toml 0.10.2
py3-tomli-w 1.2.0
py3-tomli 2.4.1
py3-tomlkit 0.15.0
py3-toolz 1.1.0
py3-torch-cluster-cuda 1.6.3
py3-torch-cluster 1.6.3
py3-torch-cuda 2.13.0
py3-torch-rocm 2.13.0
py3-torch-scatter-cuda 2.1.2
py3-torch-scatter 2.1.2
py3-torch-sparse-cuda 0.6.18
py3-torch-sparse 0.6.18
py3-torch 2.13.0
py3-tornado 6.5.7
py3-tqdm 4.68.4
py3-traitlets 5.15.1
py3-triton 3.7.1
py3-trove-classifiers 2026.6.1.19
py3-typed-ast 1.5.5
py3-typing-extensions 4.16.0
py3-typing-inspection 0.4.2
py3-tzdata 2026.2
py3-uhi 1.1.1
py3-uncertainties 3.2.3
py3-uproot 5.7.5
py3-urllib3 2.7.0
py3-vcs-versioning 2.2.2
py3-vector 1.8.1
py3-versioneer 0.29
py3-virtualenv-clone 0.5.7
py3-virtualenv 21.6.0
py3-virtualenvwrapper 6.1.1
py3-wcwidth 0.8.2
py3-webencodings 0.5.1
py3-websocket-client 1.9.0
py3-werkzeug 3.1.8
py3-wheel 0.47.0
py3-widgetsnbextension 4.0.15
py3-wrapt 1.14.1
py3-xgboost 1.7.5
py3-xxhash 3.8.1
py3-xyzservices 2026.3.0
py3-zipp 4.1.0
pyclang 21.1.4
pydata 426
pyg-lib-cuda-links 0.7.0
pyg-lib-cuda 0.7.0
pyg-lib-interface 0.7.0
pyg-lib 0.7.0
pyquen 1.5.4
pythia6 426
pythia6_headers 426
pythia6_pdfdummy 426
pythia8 317
python-paths 1.0
python3 3.12.13
python_tools 3.1
pytorch-cluster-cuda-links 1.6.3
pytorch-cluster-cuda 1.6.3
pytorch-cluster 1.6.3
pytorch-cuda-links 2.13.0
pytorch-cuda 2.13.0
pytorch-interface 2.13.0
pytorch-rocm-links 2.13.0
pytorch-rocm 2.13.0
pytorch-scatter-cuda-links 2.1.2
pytorch-scatter-cuda 2.1.2
pytorch-scatter 2.1.2
pytorch-sparse-cuda-links 0.6.18
pytorch-sparse-cuda 0.6.18
pytorch-sparse 0.6.18
pytorch 2.13.0
qd 2.3.13
qd_f_main 2.3.13
rccl 7.14
rdma-core 57.0
re2 2021-06-01
resolv system
rivet 4.1.2
rocblas 7.14
rocfft 7.14
rocgdb 7.14
rocm-comgr 7.14
rocm-core 7.14
rocm-hip 7.14
rocm-llvm 7.14
rocm-rccl 7.14
rocm-rocprofiler-sdk 7.14
rocm-rocrand 7.14
rocm-smi-lib 7.14
rocm 7.14
rocprim 7.14
rocprofiler-register 7.14
rocr-runtime 7.14
rocrand 7.14
rocsolver 7.14
rocsparse 7.14
rocthrust 7.14
roctracer 7.14
roofit 6.36.13
roofitcore 6.36.13
roostats 6.36.13
root 6.36.13
root_cxxdefaults system
root_interface 6.36.13
rootcling 6.36.13
rootcore 6.36.13
rootdataframe 6.36.13
rooteg 6.36.13
rooteve 6.36.13
rootfoam 6.36.13
rootged 6.36.13
rootgeom 6.36.13
rootgeompainter 6.36.13
rootglew 6.36.13
rootgpad 6.36.13
rootgraphics 6.36.13
rootgui 6.36.13
rootguihtml 6.36.13
roothistmatrix 6.36.13
roothistpainter 6.36.13
roothtml 6.36.13
rootimt 6.36.13
rootinteractive 6.36.13
rootmath 6.36.13
rootmathcore 6.36.13
rootminuit 6.36.13
rootminuit2 6.36.13
rootmlp 6.36.13
rootntuple 6.36.13
rootphysics 6.36.13
rootpy 6.36.13
rootpymva 6.36.13
rootrflx 6.36.13
rootrgl 6.36.13
rootrint 6.36.13
rootrio 6.36.13
rootsmatrix 6.36.13
rootspectrum 6.36.13
rootthread 6.36.13
roottmva 6.36.13
rootvecops 6.36.13
rootx11 6.36.13
rootxml 6.36.13
rootxmlio 6.36.13
ruff 0.5.6
sherpa 2.2.16
sigcpp 3.2.0
sloccount 2.26
sockets system
sqlite 3.48.0
starlight r193
tauolapp 1.1.8
tbb v2022.3.0
tbbbind v2022.3.0
tcmalloc 2.11
tcmalloc_minimal 2.11
tensorflow-cc 2.17.0
tensorflow-framework 2.17.0
tensorflow-includes 2.17.0
tensorflow-xla-runtime 2.17.0
tensorflow 2.17.0
thepeg 2.2.2
tinyxml2 6.2.0
tkonlinesw 4.2.0-1_gcc7
tkonlineswdb 4.2.0-1_gcc7
toollip 3.1.0
topo 5.0.0
traccc-cuda v44.0.1
traccc-io v44.0.1
traccc-performance v44.0.1
traccc v44.0.1
triton-inference-client 2.25.0
ucx 1.21.0
utm utm_0.14.1
valgrind 3.24.0
vdt 0.4.3
vdt_headers 0.4.3
vecgeom 2.1.1
vecgeom_interface 2.1.1
vecmem-cuda v44.0.1
vecmem-rocm v44.0.1
vecmem v44.0.1
x11 system
xerces-c 3.1.3
xgboost 1.7.5
xpmem v2.6.3-20220308
xrdcl-record 5.4.2
xrootd 6.0.2
xtd fdcc02011bbb1941f6b2c1226a9983a77d5a056e
xtensor 0.24.1
xtl 0.7.4
xz 5.8.3
yaml-cpp 0.8.0
yoda 2.1.2
zlib 1.3.2
zstd 1.5.7
